2024-04-24 10:47:11 status half-configured sensible-utils:all 0.0.22
2024-04-24 10:47:11 status installed sensible-utils:all 0.0.22
2024-04-24 10:47:11 configure libgcc-s1:amd64 14-20240412-0ubuntu1 <none>
2024-04-24 10:47:11 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 status half-configured libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 status installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:11 configure libc6:amd64 2.39-0ubuntu8 <none>
2024-04-24 10:47:11 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:11 status half-configured libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:11 status installed libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:11 configure libmd0:amd64 1.1.0-2build1 <none>
2024-04-24 10:47:11 status unpacked libmd0:amd64 1.1.0-2build1
2024-04-24 10:47:11 status half-configured libmd0:amd64 1.1.0-2build1
2024-04-24 10:47:11 status installed libmd0:amd64 1.1.0-2build1
2024-04-24 10:47:11 configure libattr1:amd64 1:2.5.2-1build1 <none>
2024-04-24 10:47:11 status unpacked libattr1:amd64 1:2.5.2-1build1
2024-04-24 10:47:11 status half-configured libattr1:amd64 1:2.5.2-1build1
2024-04-24 10:47:11 status installed libattr1:amd64 1:2.5.2-1build1
2024-04-24 10:47:11 configure sysvinit-utils:amd64 3.08-6ubuntu3 <none>
2024-04-24 10:47:11 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-24 10:47:11 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-24 10:47:11 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-04-24 10:47:11 configure libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4 <none>
2024-04-24 10:47:11 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:11 status half-configured libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:11 status installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:11 configure debianutils:amd64 5.17build1 <none>
2024-04-24 10:47:11 status unpacked debianutils:amd64 5.17build1
2024-04-24 10:47:11 status half-configured debianutils:amd64 5.17build1
2024-04-24 10:47:11 status installed debianutils:amd64 5.17build1
2024-04-24 10:47:11 configure mawk:amd64 1.3.4.20240123-1build1 <none>
2024-04-24 10:47:11 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 status half-configured mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 status installed mawk:amd64 1.3.4.20240123-1build1
2024-04-24 10:47:11 configure libdebconfclient0:amd64 0.271ubuntu3 <none>
2024-04-24 10:47:11 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2024-04-24 10:47:11 status half-configured libdebconfclient0:amd64 0.271ubuntu3
2024-04-24 10:47:11 status installed libdebconfclient0:amd64 0.271ubuntu3
2024-04-24 10:47:11 configure libbz2-1.0:amd64 1.0.8-5.1 <none>
